sample_id,bucket,category,source_group,split,input_path,output_path,input_exists,output_exists,shape_match,input_width,input_height,output_width,output_height,severity,identity_candidate,diff_mean,mask_ratio,mask_threshold,input_pseudo_psnr,input_pseudo_ssim_global,e1_pseudo_psnr,e1_pseudo_ssim_global,e1_mask_outside_max_abs,e1_mask_outside_mean_abs
image_patches_small/0_1314_25_SKPPWEPEPE_2_51_8_B_Living_0,image_patches_small,image_patches_small/clear_nostructure_imagine,1314_25_SKPPWEPEPE_2_51_8_B_Living,test,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/0_1314_25_SKPPWEPEPE_2_51_8_B_Living_0_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/0_1314_25_SKPPWEPEPE_2_51_8_B_Living_0_generated.png,True,True,True,900,900,900,900,light,False,1.3720380067825317,0.02503827160493827,18.0,34.98257038160941,0.997402285149419,38.91244490453367,0.9990332411088997,0,0.0
image_patches_small/0_589_87_TZSNTHIAHM_1_22_6_D_MBed_0,image_patches_small,image_patches_small/clear_nostructure_imagine,589_87_TZSNTHIAHM_1_22_6_D_MBed,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/0_589_87_TZSNTHIAHM_1_22_6_D_MBed_0_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/0_589_87_TZSNTHIAHM_1_22_6_D_MBed_0_generated.png,True,True,True,900,900,900,900,medium,False,1.9057947397232056,0.06004197530864198,18.0,32.478624194397796,0.9967462560269997,39.120144736538414,0.9993791374738872,0,0.0
image_patches_small/0_608_82_TZNITHIOHM_1_117_27_D_Bed_0,image_patches_small,image_patches_small/clear_nostructure_imagine,608_82_TZNITHIOHM_1_117_27_D_Bed,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/0_608_82_TZNITHIOHM_1_117_27_D_Bed_0_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/0_608_82_TZNITHIOHM_1_117_27_D_Bed_0_generated.png,True,True,True,900,900,900,900,medium,False,3.5767924785614014,0.06136666666666667,18.0,30.5216687968986,0.9934459521519459,35.0398014152685,0.9978891822109456,0,0.0
image_patches_small/18_1325_56_SSPPWYPXPS_1_26_11_G_Living_18,image_patches_small,image_patches_small/clear_nostructure_imagine,1325_56_SSPPWYPXPS_1_26_11_G_Living,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/18_1325_56_SSPPWYPXPS_1_26_11_G_Living_18_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/18_1325_56_SSPPWYPXPS_1_26_11_G_Living_18_generated.png,True,True,True,900,900,900,900,light,False,0.6341041326522827,0.015998765432098765,21.66666603088379,35.80687757565892,0.9921454357562066,42.732051315065334,0.9985263328718735,0,0.0
image_patches_small/19_1325_56_SSPPWYPXPS_1_26_11_G_Living_19,image_patches_small,image_patches_small/clear_nostructure_imagine,1325_56_SSPPWYPXPS_1_26_11_G_Living,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/19_1325_56_SSPPWYPXPS_1_26_11_G_Living_19_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/19_1325_56_SSPPWYPXPS_1_26_11_G_Living_19_generated.png,True,True,True,900,900,900,900,light,False,0.6272975206375122,0.017493827160493827,27.33333396911621,35.20028399161565,0.9905755051574011,45.199182142629944,0.9992784947996368,0,0.0
image_patches_small/1_608_82_TZNITHIOHM_1_117_27_D_Bed_1,image_patches_small,image_patches_small/clear_nostructure_imagine,608_82_TZNITHIOHM_1_117_27_D_Bed,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/1_608_82_TZNITHIOHM_1_117_27_D_Bed_1_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/1_608_82_TZNITHIOHM_1_117_27_D_Bed_1_generated.png,True,True,True,900,900,900,900,medium,False,1.628394603729248,0.030879012345679014,18.0,32.960994140164686,0.9958710623933579,39.20560788474407,0.9991224561816785,0,0.0
image_patches_small/2_594_87_TZSNTHIAHM_1_22_11_D_MBed_2,image_patches_small,image_patches_small/clear_nostructure_imagine,594_87_TZSNTHIAHM_1_22_11_D_MBed,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/2_594_87_TZSNTHIAHM_1_22_11_D_MBed_2_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/2_594_87_TZSNTHIAHM_1_22_11_D_MBed_2_generated.png,True,True,True,900,900,900,900,medium,False,1.3935810327529907,0.044660493827160495,18.0,33.5684571944482,0.9960028270033111,40.731150097273556,0.9993594250101328,0,0.0
image_patches_small/3_589_87_TZSNTHIAHM_1_22_6_D_MBed_3,image_patches_small,image_patches_small/clear_nostructure_imagine,589_87_TZSNTHIAHM_1_22_6_D_MBed,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/3_589_87_TZSNTHIAHM_1_22_6_D_MBed_3_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/3_589_87_TZSNTHIAHM_1_22_6_D_MBed_3_generated.png,True,True,True,900,900,900,900,medium,False,1.929183006286621,0.06560493827160493,20.0,31.295473697651932,0.9939309433315202,39.89383408422182,0.9992852608415703,0,0.0
image_patches_small/4_1325_56_SSPPWYPXPS_1_26_11_G_Living_4,image_patches_small,image_patches_small/clear_nostructure_imagine,1325_56_SSPPWYPXPS_1_26_11_G_Living,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/4_1325_56_SSPPWYPXPS_1_26_11_G_Living_4_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/4_1325_56_SSPPWYPXPS_1_26_11_G_Living_4_generated.png,True,True,True,900,900,900,900,medium,False,1.6428877115249634,0.04700740740740741,18.0,31.982337254437457,0.9951590245132129,40.901446014687394,0.9994994080174968,0,0.0
image_patches_small/4_682_41_SKSWBPWJPS_1_26_11_C_Bed_4,image_patches_small,image_patches_small/clear_nostructure_imagine,682_41_SKSWBPWJPS_1_26_11_C_Bed,train,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/4_682_41_SKSWBPWJPS_1_26_11_C_Bed_4_ori.png,To_Yukun_3DModelImageryEnhancement/To_Yukun_3DModelImageryEnhancement/s7_make_datasets/s1_trainingset/image_patches_small/clear_nostructure_imagine/4_682_41_SKSWBPWJPS_1_26_11_C_Bed_4_generated.png,True,True,True,900,900,900,900,light,False,1.108526349067688,0.022292592592592593,18.0,34.93608820863852,0.9961730362062912,40.466759774858176,0.9990584484028328,0,0.0
