sample_id,source_image,source_mask,source_group,split,kind,crop_x0,crop_y0,crop_x1,crop_y1,clean_path,distorted_path,mask_path,mask_ratio,seed
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392.png,SKADBPYRPE,val,blur,511,591,767,847,research/data/open3dhk_proxy_pairs/proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392/clean.png,research/data/open3dhk_proxy_pairs/proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392/distorted.png,research/data/open3dhk_proxy_pairs/proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392/mask.png,0.031341552734375,20260820
proxy_001_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703.png,SKEYPPEAPE,train,downsample,139,17,395,273,research/data/open3dhk_proxy_pairs/proxy_001_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703/clean.png,research/data/open3dhk_proxy_pairs/proxy_001_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703/distorted.png,research/data/open3dhk_proxy_pairs/proxy_001_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703/mask.png,0.020477294921875,20260821
proxy_002_650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951.png,TZSMTHISHM,train,smear,260,640,516,896,research/data/open3dhk_proxy_pairs/proxy_002_650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951/clean.png,research/data/open3dhk_proxy_pairs/proxy_002_650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951/distorted.png,research/data/open3dhk_proxy_pairs/proxy_002_650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951/mask.png,0.0501708984375,20260822
proxy_003_112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199.png,TTHZZHIVHT,train,repeat,396,355,652,611,research/data/open3dhk_proxy_pairs/proxy_003_112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199/clean.png,research/data/open3dhk_proxy_pairs/proxy_003_112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199/distorted.png,research/data/open3dhk_proxy_pairs/proxy_003_112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199/mask.png,0.04595947265625,20260823
proxy_004_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763.png,TZHXTHIVHM,val,missing,108,201,364,457,research/data/open3dhk_proxy_pairs/proxy_004_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763/clean.png,research/data/open3dhk_proxy_pairs/proxy_004_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763/distorted.png,research/data/open3dhk_proxy_pairs/proxy_004_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763/mask.png,0.02154541015625,20260824
proxy_005_322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907.png,TZNITHIOHM,train,warp,224,526,480,782,research/data/open3dhk_proxy_pairs/proxy_005_322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907/clean.png,research/data/open3dhk_proxy_pairs/proxy_005_322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907/distorted.png,research/data/open3dhk_proxy_pairs/proxy_005_322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907/mask.png,0.0446319580078125,20260825
proxy_006_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802.png,SKPPWBPEPE,train,blur,11,522,267,778,research/data/open3dhk_proxy_pairs/proxy_006_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802/clean.png,research/data/open3dhk_proxy_pairs/proxy_006_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802/distorted.png,research/data/open3dhk_proxy_pairs/proxy_006_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802/mask.png,0.06610107421875,20260826
proxy_007_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258.png,TTNTIHLEHM,train,downsample,601,84,857,340,research/data/open3dhk_proxy_pairs/proxy_007_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258/clean.png,research/data/open3dhk_proxy_pairs/proxy_007_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258/distorted.png,research/data/open3dhk_proxy_pairs/proxy_007_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258/mask.png,0.0465087890625,20260827
proxy_008_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748.png,SKBKBPEAPE,train,smear,61,102,317,358,research/data/open3dhk_proxy_pairs/proxy_008_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748/clean.png,research/data/open3dhk_proxy_pairs/proxy_008_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748/distorted.png,research/data/open3dhk_proxy_pairs/proxy_008_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748/mask.png,0.0685272216796875,20260828
proxy_009_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879.png,TZDSIHSXMT,train,repeat,544,44,800,300,research/data/open3dhk_proxy_pairs/proxy_009_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879/clean.png,research/data/open3dhk_proxy_pairs/proxy_009_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879/distorted.png,research/data/open3dhk_proxy_pairs/proxy_009_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879/mask.png,0.072479248046875,20260829
