sample_id,showcase_index,source_group,category,severity,manual_mask_ratio,image_path,annotation_mask_path,sam_mask_path,sam_mask_ratio,sam_model_iou_score,mask_source,previous_generated_path,manual_sam_iou,manual_sam_dice,annotation_mask_ratio
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,SKPPWBPEPE,other,large,1.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802.png,research/outputs/restoration/showcase_sam/00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802/sam_mask.png,1.00000000,-0.00360467,SAM_LoRA_cpu,,1.00000000,1.00000000,1.00000000
showcase_01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161,1,TZLZZHIOHT,Bed,large,0.8728654320987654,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161.png,research/outputs/restoration/showcase_sam/01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161/sam_mask.png,0.87771358,0.00545335,SAM_LoRA_cpu,,0.99328201,0.99662969,0.87286543
showcase_02_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964,2,TZSITHMXHM,Bed,large,1.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964.png,research/outputs/restoration/showcase_sam/02_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964/sam_mask.png,1.00000000,0.00028491,SAM_LoRA_cpu,,1.00000000,1.00000000,1.00000000
showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,3,TZDSIHSXMT,Null,large,1.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879.png,research/outputs/restoration/showcase_sam/03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879/sam_mask.png,0.99987160,-0.00082599,SAM_LoRA_cpu,,0.99987160,0.99993580,1.00000000
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,OSRRQRUXOU,Bed,large,0.9018888888888889,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626.png,research/outputs/restoration/showcase_sam/04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626/sam_mask.png,0.90665679,0.00172230,SAM_LoRA_cpu,,0.99232946,0.99614997,0.90188889
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,TZSHZHMRHM,Kitchen,large,1.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845.png,research/outputs/restoration/showcase_sam/05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845/sam_mask.png,1.00000000,0.00505040,SAM_LoRA_cpu,,1.00000000,1.00000000,1.00000000
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,SKKYGPBEPE,Kitchen,large,1.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722.png,research/outputs/restoration/showcase_sam/06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722/sam_mask.png,1.00000000,0.00191591,SAM_LoRA_cpu,,1.00000000,1.00000000,1.00000000
showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7,TZDZZHIAHT,Bed,large,0.6743456790123457,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177.png,research/outputs/restoration/showcase_sam/07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177/sam_mask.png,0.68140864,0.02910593,SAM_LoRA_cpu,,0.98408090,0.99197659,0.67434568
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,SKADBPYRPE,Bed,medium,0.4373666666666667,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121.png,research/outputs/restoration/showcase_sam/08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121/sam_mask.png,0.46584691,-0.02779985,SAM_LoRA_cpu,,0.92378771,0.96038425,0.43736667
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,9,TTSDZHIVHT,Living,medium,0.3660185185185185,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074.png,research/outputs/restoration/showcase_sam/09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074/sam_mask.png,0.36709506,-0.01072690,SAM_LoRA_cpu,,0.99682564,0.99841030,0.36601852
