sample_id,source_group,source_image,degradation_type,severity,clean_path,distorted_path,mask_path,mask_ratio,clean_quality_score,masked_input_clean_l1,split,seed
v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample,SKEYPPEAPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703.png,blur_downsample,medium,research/data/restoration_v2_proxy_pairs/v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample/mask.png,0.23018973,1.000000,12.868687,train,20260820
v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp,TZHXTHIVHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763.png,smear_warp,large,research/data/restoration_v2_proxy_pairs/v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp/mask.png,0.47167969,0.999920,25.506472,train,20260821
v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing,TTNTIHLEHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258.png,repeat_missing,medium,research/data/restoration_v2_proxy_pairs/v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing/mask.png,0.12332589,0.999860,31.370825,train,20260822
v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample,SKBKBPEAPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748.png,blur_downsample,medium,research/data/restoration_v2_proxy_pairs/v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample/mask.png,0.10893654,1.000000,5.648982,train,20260823
v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp,TZHXTHIVHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351.png,smear_warp,medium,research/data/restoration_v2_proxy_pairs/v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp/mask.png,0.11589206,1.000000,9.372944,train,20260824
v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing,OSJDFRJRRU,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531.png,repeat_missing,medium,research/data/restoration_v2_proxy_pairs/v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing/mask.png,0.11487564,0.999940,39.201712,train,20260825
v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample,TZDZTHIRHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351.png,blur_downsample,large,research/data/restoration_v2_proxy_pairs/v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample/mask.png,0.35544882,1.000000,11.406598,val,20260826
v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp,SSPPWYPEPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376.png,smear_warp,large,research/data/restoration_v2_proxy_pairs/v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp/mask.png,0.42881059,1.000000,30.199232,train,20260827
v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing,TZHXTHISHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255.png,repeat_missing,medium,research/data/restoration_v2_proxy_pairs/v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing/mask.png,0.12591677,1.000000,20.166667,val,20260828
v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample,TZSHZHMRHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845.png,blur_downsample,large,research/data/restoration_v2_proxy_pairs/v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample/mask.png,0.43797832,1.000000,13.985439,train,20260829
