sample_id,source_group,split,category,severity,identity_candidate,mask_ratio,input_pseudo_psnr,input_pseudo_ssim_global,e1_pseudo_psnr,e1_pseudo_ssim_global,e1_mask_outside_max_abs,e1_mask_outside_mean_abs
image_patches_small/0_1314_25_SKPPWEPEPE_2_51_8_B_Living_0,1314_25_SKPPWEPEPE_2_51_8_B_Living,test,image_patches_small/clear_nostructure_imagine,light,False,0.02503827160493827,34.98257038160941,0.997402285149419,38.91244490453367,0.9990332411088997,0,0.0
image_patches_small/0_589_87_TZSNTHIAHM_1_22_6_D_MBed_0,589_87_TZSNTHIAHM_1_22_6_D_MBed,train,image_patches_small/clear_nostructure_imagine,medium,False,0.06004197530864198,32.478624194397796,0.9967462560269997,39.120144736538414,0.9993791374738872,0,0.0
image_patches_small/0_608_82_TZNITHIOHM_1_117_27_D_Bed_0,608_82_TZNITHIOHM_1_117_27_D_Bed,train,image_patches_small/clear_nostructure_imagine,medium,False,0.06136666666666667,30.5216687968986,0.9934459521519459,35.0398014152685,0.9978891822109456,0,0.0
image_patches_small/18_1325_56_SSPPWYPXPS_1_26_11_G_Living_18,1325_56_SSPPWYPXPS_1_26_11_G_Living,train,image_patches_small/clear_nostructure_imagine,light,False,0.015998765432098765,35.80687757565892,0.9921454357562066,42.732051315065334,0.9985263328718735,0,0.0
image_patches_small/19_1325_56_SSPPWYPXPS_1_26_11_G_Living_19,1325_56_SSPPWYPXPS_1_26_11_G_Living,train,image_patches_small/clear_nostructure_imagine,light,False,0.017493827160493827,35.20028399161565,0.9905755051574011,45.199182142629944,0.9992784947996368,0,0.0
image_patches_small/1_608_82_TZNITHIOHM_1_117_27_D_Bed_1,608_82_TZNITHIOHM_1_117_27_D_Bed,train,image_patches_small/clear_nostructure_imagine,medium,False,0.030879012345679014,32.960994140164686,0.9958710623933579,39.20560788474407,0.9991224561816785,0,0.0
image_patches_small/2_594_87_TZSNTHIAHM_1_22_11_D_MBed_2,594_87_TZSNTHIAHM_1_22_11_D_MBed,train,image_patches_small/clear_nostructure_imagine,medium,False,0.044660493827160495,33.5684571944482,0.9960028270033111,40.731150097273556,0.9993594250101328,0,0.0
image_patches_small/3_589_87_TZSNTHIAHM_1_22_6_D_MBed_3,589_87_TZSNTHIAHM_1_22_6_D_MBed,train,image_patches_small/clear_nostructure_imagine,medium,False,0.06560493827160493,31.295473697651932,0.9939309433315202,39.89383408422182,0.9992852608415703,0,0.0
image_patches_small/4_1325_56_SSPPWYPXPS_1_26_11_G_Living_4,1325_56_SSPPWYPXPS_1_26_11_G_Living,train,image_patches_small/clear_nostructure_imagine,medium,False,0.04700740740740741,31.982337254437457,0.9951590245132129,40.901446014687394,0.9994994080174968,0,0.0
image_patches_small/4_682_41_SKSWBPWJPS_1_26_11_C_Bed_4,682_41_SKSWBPWJPS_1_26_11_C_Bed,train,image_patches_small/clear_nostructure_imagine,light,False,0.022292592592592593,34.93608820863852,0.9961730362062912,40.466759774858176,0.9990584484028328,0,0.0
image_patches_small/6_594_30_SKPPWKPEPE_2_38_36_B_Living_6,594_30_SKPPWKPEPE_2_38_36_B_Living,test,image_patches_small/clear_nostructure_imagine,light,False,0.020717283950617282,31.699957410932424,0.9859171788215969,40.01995418198716,0.9980798679891655,0,0.0
image_patches_small/0_100_63_TTTSTHHXHM_1_6_12_B_Bed_0,100_63_TTTSTHHXHM_1_6_12_B_Bed,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.14093703703703703,27.44020979384297,0.9826481702810471,34.69826209664611,0.9975506551951991,0,0.0
image_patches_small/0_102_10_SKADBPYRPE_3_23_16_A_Bed_0,102_10_SKADBPYRPE_3_23_16_A_Bed,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.11744938271604938,27.968923475521933,0.946371990819126,31.997435582528663,0.9804662361782885,0,0.0
image_patches_small/0_112_41_SKSWBPWJPS_1_5_1_A_Bed_0,112_41_SKSWBPWJPS_1_5_1_A_Bed,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.2697827160493827,24.95468361177627,0.9792969798724352,32.753180775809,0.9969341436854198,0,0.0
image_patches_small/0_113_41_SKSWBPWJPS_1_5_2_A_Bed_0,113_41_SKSWBPWJPS_1_5_2_A_Bed,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.29232345679012345,24.668789637833292,0.9761139168937532,32.659733641574114,0.9966166841537347,0,0.0
image_patches_small/0_1145_30_SKPPWKPEPE_2_50_47_C_Bed_0,1145_30_SKPPWKPEPE_2_50_47_C_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.10258024691358025,30.183190098274046,0.9938189386127148,40.0932576333755,0.9994974725475186,0,0.0
image_patches_small/0_11_5_OSRRQRUXUU_1_2_1_A_Bed_0,11_5_OSRRQRUXUU_1_2_1_A_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.11304074074074075,28.72659009925846,0.991295134604177,37.24490133820939,0.999039005173499,0,0.0
image_patches_small/0_11_61_TTNTIHLEHM_1_1_13_A_Bed_0,11_61_TTNTIHLEHM_1_1_13_A_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,8.888888888888889e-05,43.57082732305056,0.9997434177153456,43.59629379501307,0.9997452912659824,0,0.0
image_patches_small/0_120_17_SKPDPPERPE_1_5_18_A_MBed_0,120_17_SKPDPPERPE_1_5_18_A_MBed,val,image_patches_small/clear_nostructure_noimagine,light,True,0.02655185185185185,35.641127897033776,0.9982671108463809,39.2240824521779,0.9993087839987645,0,0.0
image_patches_small/0_122_17_SKPDPPERPE_1_5_20_A_MBed_0,122_17_SKPDPPERPE_1_5_20_A_MBed,test,image_patches_small/clear_nostructure_noimagine,medium,False,0.034976543209876546,34.57367769794536,0.9975876546272315,38.38851773570882,0.9990716744258171,0,0.0
image_patches_small/0_126_17_SKPDPPERPE_1_5_24_A_MBed_0,126_17_SKPDPPERPE_1_5_24_A_MBed,val,image_patches_small/clear_nostructure_noimagine,medium,False,0.04039012345679013,34.19453585352659,0.997204128492734,38.801169046989266,0.9991506145319721,0,0.0
image_patches_small/0_12_86_TZSMTHISHM_1_1_13_A_LivingDining_0,12_86_TZSMTHISHM_1_1_13_A_LivingDining,test,image_patches_small/clear_nostructure_noimagine,severe,False,0.11305432098765432,26.952190732096742,0.9848502071455418,34.47524706401862,0.9977525958646418,0,0.0
image_patches_small/0_132_10_SKADBPYRPE_3_24_27_A_Bed_0,132_10_SKADBPYRPE_3_24_27_A_Bed,val,image_patches_small/clear_nostructure_noimagine,severe,False,0.10588024691358025,29.12085389845183,0.9881651989063274,36.658910852232594,0.9982286625432701,0,0.0
image_patches_small/0_13_22_SKPPWBPEPE_1_14_7_Whole_MBed_0,13_22_SKPPWBPEPE_1_14_7_Whole_MBed,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.10318888888888889,26.3660368102462,0.974384910274393,37.40524886124223,0.9984138888933906,0,0.0
image_patches_small/0_229_78_TZIDZHMXHM_3_39_26_A_Utility_0,229_78_TZIDZHMXHM_3_39_26_A_Utility,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.10877654320987655,28.683418036611524,0.9949809842895908,33.48514901729282,0.9985800108106342,0,0.0
image_patches_small/0_280_17_SKPDPPERPE_1_11_10_C_MBed_0,280_17_SKPDPPERPE_1_11_10_C_MBed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.010246913580246913,34.882776438698244,0.9989433052535613,36.09924768603261,0.9992283331917294,0,0.0
image_patches_small/0_30_89_TZTMTHMJMM_1_2_13_A_Bed_0,30_89_TZTMTHMJMM_1_2_13_A_Bed,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.26496296296296296,25.38164826414963,0.9878109773113993,33.6866875445351,0.9985962678887023,0,0.0
image_patches_small/0_31_4_OSRRQRUXOU_1_3_10_A_Bed_0,31_4_OSRRQRUXOU_1_3_10_A_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.0211641975308642,35.51281505408642,0.9985324013303604,38.61262980588287,0.9993163699803649,0,0.0
image_patches_small/0_325_38_SKPPWYPEPE_1_105_13_B_MBed_0,325_38_SKPPWYPEPE_1_105_13_B_MBed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.0776074074074074,29.00290424969837,0.9911506904814897,35.80945222306819,0.9983706355610092,0,0.0
image_patches_small/0_363_2_OSJDFRJRRU_1_14_2_D_Bed_0,363_2_OSJDFRJRRU_1_14_2_D_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.046681481481481484,31.237680663881427,0.9973548881670398,35.31247127256962,0.9990768381284877,0,0.0
image_patches_small/0_379_11_SKBKBPEAPE_1_11_20_C_Living_0,379_11_SKBKBPEAPE_1_11_20_C_Living,val,image_patches_small/clear_nostructure_noimagine,severe,False,0.11161234567901235,28.013652227333786,0.9902462520575134,35.266759304423445,0.9985388652537761,0,0.0
image_patches_small/0_632_3_OSRJURUXRU_1_31_15_D_MBed_0,632_3_OSRJURUXRU_1_31_15_D_MBed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.058162962962962965,31.673310647633777,0.996704828358566,36.68734505625921,0.9990966812020231,0,0.0
image_patches_small/0_637_3_OSRJURUXRU_1_31_20_D_MBed_0,637_3_OSRJURUXRU_1_31_20_D_MBed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.05947283950617284,31.60221604963686,0.9964361715648423,36.44728937822001,0.9989925608108673,0,0.0
