sample_id,degradation_type,method,pairwise_seed_mad,seed_edge_iou,uncertain_mask_ratio
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,uv_stretch,current_FLUX2,28.983030319213867,0.1031374786081004,
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,uv_stretch,Full,3.98896853129069,0.016930523638228705,0.0
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,repeat_seam,current_FLUX2,42.99504852294922,0.12053984100573119,
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,repeat_seam,Full,1.6464715600013733,0.672129220949465,0.0
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,repeat_seam,current_FLUX2,31.16160774230957,0.1799250936329588,
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,repeat_seam,Full,1.5425875981648762,0.6159505069726365,0.0
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,uv_stretch,current_FLUX2,56.647247314453125,0.11007226500685727,
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,uv_stretch,Full,3.713582237561544,0.06273190103074168,0.0
showcase_14_322_73_TZHSTHMYHM_2_108_16_1_Kitchen_114.151702_22.278596_198.2771_116.042403,blur_lowres,current_FLUX2,20.348613739013672,0.15883829329508783,
showcase_14_322_73_TZHSTHMYHM_2_108_16_1_Kitchen_114.151702_22.278596_198.2771_116.042403,blur_lowres,Full,3.6922024488449097,0.32864942574149086,0.008820464336746206
showcase_16_1537_93_TZTNIHIYHM_1_39_44_F_Bed_2_114.149404_22.281903_256.0967_32.133977,blur_lowres,current_FLUX2,33.484371185302734,0.11712351663045295,
showcase_16_1537_93_TZTNIHIYHM_1_39_44_F_Bed_2_114.149404_22.281903_256.0967_32.133977,blur_lowres,Full,0.7431681851545969,0.7960231209612817,0.0
