pair_id,target_frame,reference_frame,degradation,method,mask_ratio,masked_psnr,masked_ssim,masked_lpips,mask_outside_max_abs,homography_mask_support_ratio,matches,inliers
matrixcity_down_0000,0,1,uv_stretch,identity,0.248652,16.592006563048443,0.47783444273373293,0.27357709407806396,0,,,
matrixcity_down_0000,0,1,uv_stretch,homography,0.248652,16.298428485201487,0.43200727495248464,0.13492897152900696,0,0.8928703569647539,586,474
matrixcity_down_0001,2,1,repeat_seam,identity,0.366664,22.55515632534353,0.7163633136469326,0.27573055028915405,0,,,
matrixcity_down_0001,2,1,repeat_seam,homography,0.366664,23.00606779235993,0.5874954576209729,0.2738988399505615,0,1.0,696,600
matrixcity_down_0002,4,5,resolution_blur,identity,0.445186,24.60030832553253,0.6812005478129438,0.14927683770656586,0,,,
matrixcity_down_0002,4,5,resolution_blur,homography,0.445186,15.017968763631018,0.41352950587878523,0.08377538621425629,0,0.9920055886752953,434,343
matrixcity_down_0003,6,5,uv_stretch,identity,0.303188,13.499110480411495,0.42137506005067943,0.2501934766769409,0,,,
matrixcity_down_0003,6,5,uv_stretch,homography,0.303188,17.971222512086392,0.535659730301993,0.0768611803650856,0,0.9997955064184598,604,548
matrixcity_down_0004,8,9,repeat_seam,identity,0.366728,27.15383054917264,0.7855996561851443,0.1861240267753601,0,,,
matrixcity_down_0004,8,9,repeat_seam,homography,0.366728,16.482143669064328,0.5187395277104588,0.22114558517932892,0,0.8707161711131957,636,473
matrixcity_down_0005,10,9,resolution_blur,identity,0.447488,24.328467818658265,0.669091462804432,0.3832687437534332,0,,,
matrixcity_down_0005,10,9,resolution_blur,homography,0.447488,19.469397920580004,0.5350797489231296,0.09231528639793396,0,1.0,479,352
matrixcity_down_0006,12,11,uv_stretch,identity,0.362058,10.768505018841307,0.35626657371956283,0.571433424949646,0,,,
matrixcity_down_0006,12,11,uv_stretch,homography,0.362058,14.079071504626029,0.38285607756747414,0.3117299973964691,0,0.9679333145518121,573,442
matrixcity_down_0007,14,13,repeat_seam,identity,0.343599,12.153827384259277,0.35328141668572033,0.5224423408508301,0,,,
matrixcity_down_0007,14,13,repeat_seam,homography,0.343599,13.149128182027072,0.379801645435237,0.33601114153862,0,0.9691529952066217,545,400
matrixcity_down_0008,16,15,resolution_blur,identity,0.317381,25.717914065763917,0.7389296323392253,0.2826651930809021,0,,,
matrixcity_down_0008,16,15,resolution_blur,homography,0.317381,13.484117582518403,0.4277706935703887,0.3094351589679718,0,0.9882003018454161,710,508
matrixcity_down_0009,18,17,uv_stretch,identity,0.361641,12.408002016011391,0.288886743719352,0.5289667844772339,0,,,
matrixcity_down_0009,18,17,uv_stretch,homography,0.361641,13.293539428052197,0.3487156682827309,0.2740035951137543,0,0.9164945346351768,465,355
matrixcity_down_0010,20,19,repeat_seam,identity,0.106917,19.23977833191165,0.6325151175912497,0.1376398503780365,0,,,
matrixcity_down_0010,20,19,repeat_seam,homography,0.106917,16.156952674369233,0.5161592082109786,0.19761022925376892,0,1.0,672,495
matrixcity_down_0011,22,23,resolution_blur,identity,0.366423,24.013664514349557,0.6454122700421397,0.43386831879615784,0,,,
matrixcity_down_0011,22,23,resolution_blur,homography,0.366423,16.316705222012004,0.42362792385648274,0.23081955313682556,0,0.8792815953147046,613,479
matrixcity_down_0012,24,23,uv_stretch,identity,0.362269,10.232716430993374,0.32469244766437083,0.3955659866333008,0,,,
matrixcity_down_0012,24,23,uv_stretch,homography,0.362269,13.443629164457935,0.37713270737129084,0.1466522514820099,0,0.9646312546753931,445,372
matrixcity_down_0013,26,25,repeat_seam,identity,0.362359,24.71179523221472,0.7008004513302956,0.05700488016009331,0,,,
matrixcity_down_0013,26,25,repeat_seam,homography,0.362359,22.367314522997923,0.5305170799149094,0.03797684237360954,0,1.0,702,578
matrixcity_down_0014,28,27,resolution_blur,identity,0.262456,26.61285574011274,0.7522913303649458,0.17772142589092255,0,,,
matrixcity_down_0014,28,27,resolution_blur,homography,0.262456,14.566240154602607,0.474543815943456,0.12176524102687836,0,1.0,725,544
matrixcity_down_0015,30,31,uv_stretch,identity,0.297219,14.586844720515849,0.34651190258029024,0.1912560909986496,0,,,
matrixcity_down_0015,30,31,uv_stretch,homography,0.297219,16.900359272071025,0.4824436646094812,0.08177386969327927,0,0.903727554429562,632,473
matrixcity_down_0016,32,33,repeat_seam,identity,0.354161,13.628432843664193,0.44619299120717176,0.19404345750808716,0,,,
matrixcity_down_0016,32,33,repeat_seam,homography,0.354161,14.326164903733234,0.3885429067282069,0.09361983835697174,0,0.9835667958922637,479,372
matrixcity_down_0017,34,35,resolution_blur,identity,0.388217,24.379879765714012,0.6676217652602131,0.1050616055727005,0,,,
matrixcity_down_0017,34,35,resolution_blur,homography,0.388217,15.17874204474243,0.40134328505956907,0.11009887605905533,0,0.8118037077201669,647,474
matrixcity_down_0018,36,35,uv_stretch,identity,0.38721,10.103061346521628,0.2932128669605632,0.2455197274684906,0,,,
