R1_NAFNet_path,R2_LaMa_path,degradation,input_path,mask_path,outside_allowed_max,r1_runtime_sec,r2_crop,r2_resized,r2_runtime_sec,sample_id,split,target_path
research\outputs\restoration_v2\real_results\proxy\v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample/mask.png,0,0.3452,"[0, 0, 214, 224]",False,0.2815,v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample,train,research/data/restoration_v2_proxy_pairs/v2_0000_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703_blur_downsample/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp\R2_LaMa.png,smear_warp,research/data/restoration_v2_proxy_pairs/v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp/mask.png,0,0.0374,"[0, 0, 224, 224]",False,0.1810,v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp,train,research/data/restoration_v2_proxy_pairs/v2_0001_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763_smear_warp/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing\R2_LaMa.png,repeat_missing,research/data/restoration_v2_proxy_pairs/v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing/mask.png,0,0.0347,"[0, 20, 224, 224]",False,0.1828,v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing,train,research/data/restoration_v2_proxy_pairs/v2_0002_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258_repeat_missing/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample/mask.png,0,0.0385,"[0, 0, 199, 224]",False,0.1392,v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample,train,research/data/restoration_v2_proxy_pairs/v2_0003_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748_blur_downsample/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp\R2_LaMa.png,smear_warp,research/data/restoration_v2_proxy_pairs/v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp/mask.png,0,0.0380,"[0, 0, 224, 224]",False,0.0505,v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp,train,research/data/restoration_v2_proxy_pairs/v2_0004_551_77_TZHXTHIVHM_1_18_12_C_Bed_1_114.152905_22.279414_140.4173_8.589351_smear_warp/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing\R2_LaMa.png,repeat_missing,research/data/restoration_v2_proxy_pairs/v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing/mask.png,0,0.0357,"[0, 6, 224, 224]",False,0.0513,v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing,train,research/data/restoration_v2_proxy_pairs/v2_0005_452_2_OSJDFRJRRU_1_16_25_E_Bed_2_114.150819_22.280202_188.3922_11.308531_repeat_missing/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample/mask.png,0,0.0364,"[0, 0, 224, 224]",False,0.0433,v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample,val,research/data/restoration_v2_proxy_pairs/v2_0006_1144_71_TZDZTHIRHM_1_34_23_D_LivingDining_114.153564_22.279163_176.2167_27.082351_blur_downsample/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp\R2_LaMa.png,smear_warp,research/data/restoration_v2_proxy_pairs/v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp/mask.png,0,0.0362,"[0, 0, 224, 224]",False,0.0513,v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp,train,research/data/restoration_v2_proxy_pairs/v2_0007_35_55_SSPPWYPEPE_2_6_6_A_Bed_1_114.139876_22.284731_65.32_3.405376_smear_warp/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing\R2_LaMa.png,repeat_missing,research/data/restoration_v2_proxy_pairs/v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing/mask.png,0,0.0348,"[0, 0, 209, 198]",False,0.1318,v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing,val,research/data/restoration_v2_proxy_pairs/v2_0008_508_76_TZHXTHISHM_1_102_1_C_Living_114.152661_22.279519_109.49_27.540255_repeat_missing/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample/mask.png,0,0.0353,"[0, 0, 224, 224]",False,0.0537,v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample,train,research/data/restoration_v2_proxy_pairs/v2_0009_328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845_blur_downsample/clean.png
