R1_NAFNet_path,R2_LaMa_path,input_path,mask_path,mask_ratio,mask_source,outside_allowed_max,r1_runtime_sec,r2_crop,r2_resized,r2_runtime_sec,sample_id,showcase_index
research\outputs\restoration_v2\real_results\showcase\1_manual\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\1_manual\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161.png,research\outputs\restoration_v2\real_results\showcase\1_manual\mask.png,0.87286543,manual,0,0.5236,"[12, 0, 900, 900]",True,0.4000,showcase_01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161,1
research\outputs\restoration_v2\real_results\showcase\1_sam\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\1_sam\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161.png,research\outputs\restoration_v2\real_results\showcase\1_sam\mask.png,0.87771358,sam,0,0.3257,"[13, 0, 900, 900]",True,0.1501,showcase_01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161,1
research\outputs\restoration_v2\real_results\showcase\4_manual\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\4_manual\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626.png,research\outputs\restoration_v2\real_results\showcase\4_manual\mask.png,0.90188889,manual,0,0.2722,"[0, 0, 900, 900]",True,0.1411,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4
research\outputs\restoration_v2\real_results\showcase\4_sam\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\4_sam\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626.png,research\outputs\restoration_v2\real_results\showcase\4_sam\mask.png,0.90665679,sam,0,0.2889,"[0, 0, 900, 900]",True,0.1498,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4
research\outputs\restoration_v2\real_results\showcase\7_manual\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\7_manual\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177.png,research\outputs\restoration_v2\real_results\showcase\7_manual\mask.png,0.67434568,manual,0,0.2677,"[0, 118, 900, 900]",True,0.2194,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7
research\outputs\restoration_v2\real_results\showcase\7_sam\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\7_sam\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177.png,research\outputs\restoration_v2\real_results\showcase\7_sam\mask.png,0.68140864,sam,0,0.2654,"[0, 104, 900, 900]",True,0.1688,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7
research\outputs\restoration_v2\real_results\showcase\8_manual\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\8_manual\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121.png,research\outputs\restoration_v2\real_results\showcase\8_manual\mask.png,0.43736667,manual,0,0.2667,"[0, 0, 900, 900]",True,0.1357,showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8
research\outputs\restoration_v2\real_results\showcase\8_sam\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\8_sam\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121.png,research\outputs\restoration_v2\real_results\showcase\8_sam\mask.png,0.46584691,sam,0,0.2654,"[0, 0, 900, 900]",True,0.1363,showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8
research\outputs\restoration_v2\real_results\showcase\9_manual\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\9_manual\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074.png,research\outputs\restoration_v2\real_results\showcase\9_manual\mask.png,0.36601852,manual,0,0.2740,"[0, 0, 426, 900]",True,0.2378,showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,9
research\outputs\restoration_v2\real_results\showcase\9_sam\R1_NAFNet.png,research\outputs\restoration_v2\real_results\showcase\9_sam\R2_LaMa.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074.png,research\outputs\restoration_v2\real_results\showcase\9_sam\mask.png,0.36709506,sam,0,0.2596,"[0, 0, 428, 900]",True,0.0760,showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,9
