unique_image_id,showcase_index,rank,reference_path,retrieval_score,matches,inliers,inlier_ratio,forward_backward_consistency_px
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693.png,0.000000,0,0,0.000000,nan
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\107_22_SKPPWBPEPE_2_34_8_Whole_MClo_114.149192_22.282896_102.83_124.801802.png,0.000000,0,0,0.000000,nan
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\116_22_SKPPWBPEPE_3_35_18_Whole_MClo_114.149193_22.2829_133.895_128.853374.png,0.000000,0,0,0.000000,nan
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,4,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\128_22_SKPPWBPEPE_3_36_21_Whole_MBed_114.1492_22.282911_144.375_118.988693.png,0.000000,0,0,0.000000,nan
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,5,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\13_22_SKPPWBPEPE_1_14_7_Whole_MBed_114.149174_22.282959_99.13_13.395544.png,0.000000,0,0,0.000000,nan
showcase_01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161,1,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\50_80_TZLZZHIOHT_1_3_1_A_Bed_1_114.145246_22.284661_87.97_28.093304.png,3.600000,10,6,0.600000,23.419975
showcase_01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161,1,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\908_80_TZLZZHIOHT_1_223_7_H_Bed_1_114.145256_22.284551_104.7825_28.531505.png,2.769231,13,6,0.461538,7.670696
showcase_02_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964,2,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\121_85_TZSITHMXHM_1_11_2_2_Bed_1_114.152023_22.27867_159.01_37.628964.png,20.302013,149,55,0.369128,0.483068
showcase_02_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964,2,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\120_85_TZSITHMXHM_1_11_1_2_Bed_1_114.152023_22.27867_156.23_37.628964.png,10.010417,96,31,0.322917,0.297229
showcase_02_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964,2,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\132_85_TZSITHMXHM_1_12_1_2_Bed_2_114.152037_22.278661_155.76_37.628964.png,8.928571,70,25,0.357143,0.106180
showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,3,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\111_67_TZDSIHSXMT_1_11_9_D_Null_114.141793_22.282123_139.2918_171.552498.png,246.621324,272,259,0.952206,0.015408
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\132_4_OSRRQRUXOU_1_6_3_B_Living_114.150681_22.279431_168.752_37.350869.png,1.600000,10,4,0.400000,0.000047
