unique_image_id,showcase_index,source_group,mask_source,reference_rank,reference_path,candidate_pool_size,top5_count,reliable,reason,mask_support_ratio,mask_high_confidence_ratio,mask_confidence_mean,forward_backward_consistency_px,local_reprojection_error_px,mask_outside_photometric_residual_lab_l1,allowed_outside_max_abs,input_path,composite_path,contact_sheet_link
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,SKPPWBPEPE,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693.png,5,5,False,insufficient_sift_features,0.000000,0.000000,0.000000,nan,nan,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802.png,research\outputs\restoration_v2\reference_consistency\per_image\0\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,SKPPWBPEPE,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693.png,5,5,False,insufficient_sift_features,0.000000,0.000000,0.000000,nan,nan,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802.png,research\outputs\restoration_v2\reference_consistency\per_image\0\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161,1,TZLZZHIOHT,manual,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\908_80_TZLZZHIOHT_1_223_7_H_Bed_1_114.145256_22.284551_104.7825_28.531505.png,2,2,False,low_mask_confidence_or_consistency,0.988238,0.000933,0.000699,7.670696,nan,21.213348,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161.png,research\outputs\restoration_v2\reference_consistency\per_image\1\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161,1,TZLZZHIOHT,sam,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\908_80_TZLZZHIOHT_1_223_7_H_Bed_1_114.145256_22.284551_104.7825_28.531505.png,2,2,False,low_mask_confidence_or_consistency,0.988325,0.000907,0.000666,7.670696,nan,21.038002,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161.png,research\outputs\restoration_v2\reference_consistency\per_image\1\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_02_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964,2,TZSITHMXHM,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\121_85_TZSITHMXHM_1_11_2_2_Bed_1_114.152023_22.27867_159.01_37.628964.png,3,3,False,low_mask_confidence_or_consistency,0.582299,0.051223,0.032575,0.483068,0.591746,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964.png,research\outputs\restoration_v2\reference_consistency\per_image\2\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_02_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964,2,TZSITHMXHM,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\121_85_TZSITHMXHM_1_11_2_2_Bed_1_114.152023_22.27867_159.01_37.628964.png,3,3,False,low_mask_confidence_or_consistency,0.582299,0.051223,0.032575,0.483068,0.591746,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964.png,research\outputs\restoration_v2\reference_consistency\per_image\2\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,3,TZDSIHSXMT,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\111_67_TZDSIHSXMT_1_11_9_D_Null_114.141793_22.282123_139.2918_171.552498.png,1,1,True,ok,0.539323,0.202306,0.128682,0.015408,0.433447,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879.png,research\outputs\restoration_v2\reference_consistency\per_image\3\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,3,TZDSIHSXMT,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\111_67_TZDSIHSXMT_1_11_9_D_Null_114.141793_22.282123_139.2918_171.552498.png,1,1,True,ok,0.539264,0.202332,0.128699,0.015408,0.433447,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879.png,research\outputs\restoration_v2\reference_consistency\per_image\3\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,OSRRQRUXOU,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\132_4_OSRRQRUXOU_1_6_3_B_Living_114.150681_22.279431_168.752_37.350869.png,1,1,False,low_mask_confidence_or_consistency,0.310676,0.004375,0.002863,0.000047,0.000000,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626.png,research\outputs\restoration_v2\reference_consistency\per_image\4\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,OSRRQRUXOU,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\132_4_OSRRQRUXOU_1_6_3_B_Living_114.150681_22.279431_168.752_37.350869.png,1,1,False,low_mask_confidence_or_consistency,0.310080,0.004280,0.002792,0.000047,0.000000,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626.png,research\outputs\restoration_v2\reference_consistency\per_image\4\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
