sample_id,showcase_index,source_group,target_path,reference_path,candidate_count,reliable,reason,matches,inliers,inlier_ratio,coverage,warped_path,composite_path
showcase_00_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,0,SKPPWBPEPE,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693.png,5,False,insufficient_sift_features,0,0,0.000000,0.000000,research\outputs\restoration_v2\reference_results\0\warped.png,research\outputs\restoration_v2\reference_results\0\composite.png
showcase_01_409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161,1,TZLZZHIOHT,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\409_80_TZLZZHIOHT_1_203_1_D_Bed_1_114.144984_22.284617_88.68_30.932161.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\50_80_TZLZZHIOHT_1_3_1_A_Bed_1_114.145246_22.284661_87.97_28.093304.png,2,False,weak_ransac,10,6,0.600000,0.001759,research\outputs\restoration_v2\reference_results\1\warped.png,research\outputs\restoration_v2\reference_results\1\composite.png
showcase_02_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964,2,TZSITHMXHM,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\121_85_TZSITHMXHM_1_11_2_2_Bed_1_114.152023_22.27867_159.01_37.628964.png,3,True,ok,149,58,0.389262,0.839016,research\outputs\restoration_v2\reference_results\2\warped.png,research\outputs\restoration_v2\reference_results\2\composite.png
showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,3,TZDSIHSXMT,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\111_67_TZDSIHSXMT_1_11_9_D_Null_114.141793_22.282123_139.2918_171.552498.png,1,True,ok,272,259,0.952206,0.797521,research\outputs\restoration_v2\reference_results\3\warped.png,research\outputs\restoration_v2\reference_results\3\composite.png
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,OSRRQRUXOU,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\132_4_OSRRQRUXOU_1_6_3_B_Living_114.150681_22.279431_168.752_37.350869.png,1,False,weak_ransac,8,4,0.500000,0.000398,research\outputs\restoration_v2\reference_results\4\warped.png,research\outputs\restoration_v2\reference_results\4\composite.png
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,TZSHZHMRHM,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845.png,4,False,weak_ransac,13,5,0.384615,0.000070,research\outputs\restoration_v2\reference_results\5\warped.png,research\outputs\restoration_v2\reference_results\5\composite.png
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,SKKYGPBEPE,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\0_16_SKKYGPBEPE_1_1_4_A_Kitchen_114.151878_22.278839_138.42_172.417722.png,1,False,weak_ransac,5,4,0.800000,0.000397,research\outputs\restoration_v2\reference_results\6\warped.png,research\outputs\restoration_v2\reference_results\6\composite.png
showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7,TZDZZHIAHT,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177.png,,0,False,no_same_group_candidate,0,0,0.000000,0.000000,research\outputs\restoration_v2\reference_results\7\warped.png,research\outputs\restoration_v2\reference_results\7\composite.png
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,SKADBPYRPE,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\146_10_SKADBPYRPE_3_25_22_A_Bed_2_114.149297_22.282768_135.46_30.57121.png,10,False,weak_ransac,95,39,0.410526,0.022611,research\outputs\restoration_v2\reference_results\8\warped.png,research\outputs\restoration_v2\reference_results\8\composite.png
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,9,TTSDZHIVHT,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074.png,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074.png,2,True,ok,805,721,0.895652,0.893228,research\outputs\restoration_v2\reference_results\9\warped.png,research\outputs\restoration_v2\reference_results\9\composite.png
